"model";"scenario";"Category";"Scope";"region";"Baseline";"variable";"value";"unit";"period"
"WITCH2016";"NPi_V4";"National policies";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8937.96033834495;"MtCO2";2050
"*IPAC-AIM/technology V1.0";"NPi_V4";"National policies";"national";"CHN";"NoPolicy_V4";"Emissions|CO2";8127.06221964839;"MtCO2";2050
"*China TIMES";"NPi_V4";"National policies";"national";"CHN";NA;"Emissions|CO2";7836.41650588569;"MtCO2";2050
"AIM V2.1";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";6457.3957;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7048.34158;"MtCO2";2050
"GEM-E3";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8630.55690893779;"MtCO2";2050
"IMAGE 3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8845.09659911139;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8408.39105201953;"MtCO2";2050
"POLES CDL";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8771.205421875;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7751.5787;"MtCO2";2050
"WITCH2016";"NPi2020_1000_V4";"Carbon budget 1000";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8937.96033834495;"MtCO2";2050
"AIM V2.1";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";6457.3957;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7043.33658;"MtCO2";2050
"GEM-E3";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8647.60149219725;"MtCO2";2050
"IMAGE 3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";9042.53531983246;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8408.39105201953;"MtCO2";2050
"POLES CDL";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8771.205421875;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";7751.5787;"MtCO2";2050
"WITCH2016";"NPi2020_400_V4";"Carbon budget 400";"global";"CHN";"NoPolicy_V4";"Emissions|CO2";8937.96033834495;"MtCO2";2050
"*IPAC-AIM/technology V1.0";"NPi2020_low_V4";"Carbon budget 1000";"national";"CHN";"NoPOL_V4";"Emissions|CO2";8127.06221964839;"MtCO2";2050
"*China TIMES";"NPi2020_low_V4";"Carbon budget 1000";"national";"CHN";NA;"Emissions|CO2";7836.41650588569;"MtCO2";2050
"*India MARKAL";"INDC_V4";"NDC";"national";"IND";"NoPOL_V4";"Emissions|CO2";1837.53618;"MtCO2";2050
"*AIM-India [IIMA]";"INDC_V4";"NDC";"national";"IND";"NoPOL_V4";"Emissions|CO2";1809.81435631335;"MtCO2";2050
"AIM V2.1";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1635.455;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2034.246026;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1956.47986065741;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1765.11641454849;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1873.5279307014;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1727.82306136719;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";2555.4828;"MtCO2";2050
"WITCH2016";"INDCi_V4";"NDC";"global";"IND";"NoPolicy_V4";"Emissions|CO2";1827.61120462304;"MtCO2";2050
"*India MARKAL";"NoPOL_V4";"No policy";"national";"IND";"-";"Emissions|CO2";1878.7323;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";1770.8634;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";2041.150242;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";1745.43963638915;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NoPolicy_V4";"No policy";"global";"IND";"-";"Emissions|CO2";1873.5279307014;"MtCO2";2050
